type,int_type,Bridge_Domain,Gateway IPv4,vrf,Description
subnet_add,primary,v0056_bd,10.101.56.240/31,intersite,intersite-core-peering
subnet_add,primary,v0064_bd,192.168.64.1/23,default,undefined
subnet_add,secondary,v0064_bd,192.168.35.1/23,default,undefined
subnet_add,primary,v0080_bd,192.168.80.1/24,default,undefined
subnet_add,primary,v0090_bd,10.100.1.129/29,default,Mark Stephens Lab
subnet_add,primary,v0091_bd,10.100.1.137/29,default,Paul Merlitti Lab
subnet_add,primary,v0110_bd,192.168.110.1/23,default,undefined
subnet_add,primary,v0168_bd,192.168.168.97/28,default,Wakanda-inband.L3Out
subnet_add,primary,v0169_bd,192.168.169.97/28,default,Asgard-inband.L3Out
subnet_add,primary,v0691_bd,192.168.91.1/24,default,undefined
subnet_add,primary,v0995_bd,10.100.95.1/29,external,undefined
subnet_add,primary,v0996_bd,10.100.96.1/29,external,undefined
subnet_add,primary,v0997_bd,10.100.1.17/28,default,undefined
subnet_add,primary,v0998_bd,10.100.1.1/28,default,undefined
subnet_add,primary,v0999_bd,64.100.14.254/24,external,undefined
subnet_add,primary,v3001_bd,10.101.128.1/24,default,undefined
subnet_add,primary,v3003_bd,10.101.130.1/24,default,undefined
subnet_add,primary,v3004_bd,10.101.131.1/24,default,ASE_Data_VLAN
subnet_add,primary,v3006_bd,10.101.144.1/24,default,undefined
subnet_add,primary,v3007_bd,10.101.12.1/24,default,undefined
subnet_add,primary,v3011_bd,10.101.160.1/24,default,undefined
subnet_add,primary,v3019_bd,10.101.201.1/24,default,undefined
subnet_add,primary,v3910_bd,192.168.187.1/29,default,East ACI Common L3
subnet_add,primary,v3960_bd,10.101.60.3/28,default,Asgard.Common.HNB.L3Out
subnet_add,primary,v3961_bd,10.101.61.3/28,default,Wakanda.Common.HNB.L3Out
subnet_add,primary,v3962_bd,10.101.62.3/28,default,Wakanda.Mercy.L3Out
subnet_add,primary,v3963_bd,10.101.63.3/28,default,Asgard.Mercy.L3Out
subnet_add,primary,v3964_bd,10.101.64.3/28,default,Wakanda.HNB.L3Out
subnet_add,primary,v3965_bd,10.101.65.3/28,default,Asgard.HNB.L3Out
subnet_add,primary,v3966_bd,10.101.56.163/28,default,Asgard_Common_L3Out
