Type,New Host,New Interface,Current Host,Current Interface,Port Type ,port-channel ID,VPC_ID,MTU,Switchport Mode,                              Access VLAN or Native VLAN,Trunk Allowed VLANs,CDP Enabled,LLDP Receive,LLDP Transmit,BPDU Guard,                              Port-Channel Description,Port Description
intf_add,,,143b-core01,Ethernet1/1/1,vpc,111,111,1500,trunk,1,998-999,yes,yes,yes,yes,r143b-fp02-vpc,r143b-fp01-Eth1/1
intf_add,,,143b-core01,Ethernet1/1/2,vpc,112,112,1500,trunk,1,998-999,yes,yes,yes,yes,r143c-fp02-vpc,r143c-fp02-Eth1/1
intf_add,,,143b-core01,Ethernet1/1/3,ap,n/a,n/a,1500,access,995,n/a,yes,yes,yes,no,n/a,143c-lab-gw1-Te0/0/4
intf_add,,,143b-core01,Ethernet1/1/4,ap,n/a,n/a,1500,access,995,n/a,yes,yes,yes,no,n/a,
intf_add,,,143b-core01,Ethernet1/2/1,vpc,121,121,9216,access,691,yes,n/a,yes,yes,no,r143c-netapp01-ct0-vpc,
intf_add,,,143b-core01,Ethernet1/2/2,vpc,122,122,9216,access,691,yes,n/a,yes,yes,no,r143c-netapp01-ct1-vpc,
intf_add,,,143b-core01,Ethernet1/5/1,ap,n/a,n/a,1500,access,187,n/a,yes,yes,yes,no,n/a,
intf_add,,,143b-core01,Ethernet1/7,vpc,7,7,9216,trunk,1,1-994_997_999-4094,yes,yes,yes,no,r143b-ucs-a-vpc,
intf_add,,,143b-core01,Ethernet1/7,vpc,7,27,9216,trunk,1,169_811-812_3960_3963_3965-3967,yes,yes,yes,no,asgard-leaf-vpc,
intf_add,,,143b-core01,Ethernet1/8,vpc,8,8,9216,trunk,1,1-994_997_999-4094,yes,yes,yes,no,r143b-ucs-b-vpc,
intf_add,,,143b-core01,Ethernet1/21,vpc,21,21,9216,trunk,1,64,yes,yes,yes,no,142b-oob-vpc,
intf_add,,,143b-core01,Ethernet1/21,vpc,21,121,9216,access,1,undefined,yes,yes,yes,no,r143c-netapp01-ct0-vpc,
intf_add,,,143b-core01,Ethernet1/27,vpc,27,27,9216,trunk,1,169_811-812_3960_3963_3965-3967,yes,yes,yes,no,asgard-leaf-vpc,asgard-leaf101-Eth1/49
intf_add,,,143b-core01,Ethernet1/28,vpc,27,27,9216,trunk,1,169_811-812_3960_3963_3965-3967,yes,yes,yes,no,asgard-leaf-vpc,asgard-leaf102-Eth1/49
intf_add,,,143b-core01,Ethernet1/29,vpc,30,30,9216,trunk,1,168_812_3910_3961-3962_3964,yes,yes,yes,no,wakanda-leaf-vpc,
intf_add,,,143b-core01,Ethernet1/30,vpc,30,30,9216,trunk,1,168_812_3910_3961-3962_3964,yes,yes,yes,no,wakanda-leaf-vpc,
intf_add,,,143b-core01,Ethernet1/31,vpc,31,31,9216,trunk,1,1-994_997_1000-3966_3968-4094,yes,yes,yes,no,143-oob-vpc,
intf_add,,,143b-core01,Ethernet1/32,vpc,31,31,9216,trunk,1,1-994_997_1000-3966_3968-4094,yes,yes,yes,no,143-oob-vpc,
intf_add,,,143b-core01,Ethernet1/33,vpc,33,33,9216,trunk,1,1-994_997_1000-3966_3968-4094,yes,yes,yes,no,143-dist-vpc,
intf_add,,,143b-core01,Ethernet1/34,vpc,33,33,9216,trunk,1,1-994_997_1000-3966_3968-4094,yes,yes,yes,no,143-dist-vpc,
intf_add,,,143b-core01,Ethernet1/35,vpc,35,peer-link,9216,trunk,1,undefined,yes,yes,yes,no,Peer-Link - Core,143c-core02-Eth1/35
intf_add,,,143b-core01,Ethernet1/36,vpc,35,peer-link,9216,trunk,1,undefined,yes,yes,yes,no,Peer-Link - Core,143c-core02-Eth1/36
